StudentID,CourseID,Semester,Grade,GradePoint,AssignmentScore,ExamScore
S001,C248,1,A-,3.7,30.8,46.5
S001,C238,1,F,0.0,7.2,3.5
S001,C224,1,B,3.0,26.5,42.5
S001,C208,1,A,4.0,52.0,30.9
S001,C203,2,A,4.0,42.8,46.9
S001,C213,2,A,4.0,53.8,29.4
S001,C231,2,A,4.0,18.1,69.5
S001,C219,2,F,0.0,13.1,24.6
S001,C207,3,B,3.0,31.6,36.6
S001,C216,3,B+,3.3,24.3,49.8
S001,C209,3,A,4.0,32.9,63.9
S001,C248,3,A-,3.7,27.5,50.8
S001,C217,3,A,4.0,47.1,40.4
S001,C208,3,F,0.0,9.9,5.5
S001,C234,4,A,4.0,45.6,38.5
S001,C203,4,F,0.0,9.7,15.5
S001,C226,4,A,4.0,52.3,28.6
S001,C218,4,A-,3.7,28.0,50.5
S001,C228,5,A,4.0,29.5,51.2
S001,C246,5,F,0.0,12.8,5.7
S001,C230,5,A,4.0,53.9,31.1
S001,C208,5,A-,3.7,33.6,41.9
S001,C233,5,A,4.0,24.2,56.8
S001,C242,6,F,0.0,14.4,5.1
S001,C220,6,F,0.0,6.0,3.1
S001,C231,6,F,0.0,5.8,20.8
S001,C218,6,F,0.0,12.7,4.6
S001,C211,6,C+,2.3,31.6,27.9
S001,C248,6,A-,3.7,29.5,46.7
S001,C207,7,A,4.0,28.6,52.7
S001,C240,7,A-,3.7,42.7,32.4
S001,C226,7,F,0.0,18.5,17.8
S001,C239,7,F,0.0,12.0,17.6
S001,C229,8,A,4.0,38.4,43.3
S001,C226,8,F,0.0,0.3,3.3
S001,C232,8,B-,2.7,25.0,38.5
S001,C211,8,F,0.0,1.2,6.0
S002,C239,1,A,4.0,26.3,57.6
S002,C228,1,A,4.0,37.7,54.7
S002,C219,1,B,3.0,25.6,41.8
S002,C237,1,F,0.0,7.5,2.6
S002,C247,1,B+,3.3,24.9,49.9
S002,C235,2,B-,2.7,19.5,44.5
S002,C213,2,A,4.0,49.6,42.8
S002,C237,2,A,4.0,34.0,56.1
S002,C214,2,B+,3.3,40.7,32.2
S002,C203,2,F,0.0,16.7,8.8
